name,slug,value,date_of_information,ranking,region
"Eritrea","eritrea","10.00","2019 est.","1","Africa"
"Oman","oman","8.00","2021 est.","2","Middle East"
"Kuwait","kuwait","6.80","2021 est.","3","Middle East"
"Syria","syria","6.50","2019 est.","4","Middle East"
"Saudi Arabia","saudi-arabia","6.00","2021 est.","5","Middle East"
"Algeria","algeria","5.60","2021 est.","6","Africa"
"Somalia","somalia","5.60","2019 est.","7","Africa"
"United Arab Emirates","united-arab-emirates","5.60","2020 est.","8","Middle East"
"Azerbaijan","azerbaijan","5.20","2021 est.","9","Middle East"
"Venezuela","venezuela","5.20","2019 est.","10","South America"
"Israel","israel","5.00","2021 est.","11","Middle East"
"Jordan","jordan","5.00","2021 est.","12","Middle East"
"Lebanon","lebanon","4.70","2019 est.","13","Middle East"
"Morocco","morocco","4.50","2021 est.","14","Africa"
"Armenia","armenia","4.40","2021 est.","15","Middle East"
"Cuba","cuba","4.20","2020 est.","16","Central America and the Caribbean"
"Burma","burma","4.10","2019 est.","17","East and Southeast Asia"
"Pakistan","pakistan","4.00","2022 est.","18","South Asia"
"Qatar","qatar","4.00","2021 est.","19","Middle East"
"Russia","russia","4.00","2021 est.","20","Central Asia"
"Ukraine","ukraine","4.00","2020 est.","21","Europe"
"Iraq","iraq","3.70","2021 est.","22","Middle East"
"Bahrain","bahrain","3.60","2021 est.","23","Middle East"
"Greece","greece","3.60","2021 est.","24","Europe"
"United States","united-states","3.60","2021 est.","25","North America"
"Djibouti","djibouti","3.50","2019 est.","26","Africa"
"Mali","mali","3.50","2021 est.","27","Africa"
"Afghanistan","afghanistan","3.30","2019","28","South Asia"
"Singapore","singapore","3.20","2021 est.","29","East and Southeast Asia"
"Brunei","brunei","3.10","2021 est.","30","East and Southeast Asia"
"Botswana","botswana","3.00","2021 est.","31","Africa"
"Colombia","colombia","3.00","2021 est.","32","South America"
"Namibia","namibia","3.00","2021 est.","33","Africa"
"Tunisia","tunisia","3.00","2021 est.","34","Africa"
"Uzbekistan","uzbekistan","2.80","2019 est.","35","Central Asia"
"Korea, South","korea-south","2.60","2021 est.","36","East and Southeast Asia"
"Zimbabwe","zimbabwe","2.60","2019 est.","37","Africa"
"Cambodia","cambodia","2.50","2021 est.","38","East and Southeast Asia"
"Chad","chad","2.50","2021 est.","39","Africa"
"Congo, Republic of the","congo-republic-of-the","2.50","2021 est.","40","Africa"
"Uganda","uganda","2.50","2021 est.","41","Africa"
"United Kingdom","united-kingdom","2.50","2021 est.","42","Europe"
"Burkina Faso","burkina-faso","2.40","2021 est.","43","Africa"
"Mauritania","mauritania","2.40","2021 est.","44","Africa"
"Sudan","sudan","2.40","2019 est.","45","Africa"
"Vietnam","vietnam","2.40","2021 est.","46","East and Southeast Asia"
"Iran","iran","2.30","2021 est.","47","Middle East"
"Kyrgyzstan","kyrgyzstan","2.30","2019 est.","48","Central Asia"
"Poland","poland","2.30","2021 est.","49","Europe"
"Uruguay","uruguay","2.30","2021 est.","50","South America"
"Croatia","croatia","2.20","2021 est.","51","Europe"
"Estonia","estonia","2.20","2021 est.","52","Europe"
"India","india","2.20","2021 est.","53","South Asia"
"Latvia","latvia","2.20","2021 est.","54","Europe"
"Australia","australia","2.10","2021 est.","55","Australia and Oceania"
"Taiwan","taiwan","2.10","2021 est.","56","East and Southeast Asia"
"Tajikistan","tajikistan","2.10","2019 est.","57","Central Asia"
"Tonga","tonga","2.10","2020 est.","58","Australia and Oceania"
"Burundi","burundi","2.00","2021 est.","59","Africa"
"Chile","chile","2.00","2021 est.","60","South America"
"Cyprus","cyprus","2.00","2021 est.","61","Europe"
"Ecuador","ecuador","2.00","2021 est.","62","South America"
"Finland","finland","2.00","2021 est.","63","Europe"
"Lithuania","lithuania","2.00","2021 est.","64","Europe"
"Romania","romania","2.00","2021 est.","65","Europe"
"South Sudan","south-sudan","2.00","2021 est.","66","Africa"
"France","france","1.90","2021 est.","67","Europe"
"Serbia","serbia","1.90","2021 est.","68","Europe"
"Sri Lanka","sri-lanka","1.90","2021 est.","69","South Asia"
"Turkmenistan","turkmenistan","1.90","2019 est.","70","Central Asia"
"Central African Republic","central-african-republic","1.80","2021 est.","71","Africa"
"Guinea-Bissau","guinea-bissau","1.80","2021 est.","72","Africa"
"Hungary","hungary","1.80","2021 est.","73","Europe"
"Niger","niger","1.80","2021 est.","74","Africa"
"Timor-Leste","timor-leste","1.80","2021 est.","75","East and Southeast Asia"
"Togo","togo","1.80","2021 est.","76","Africa"
"Eswatini","eswatini","1.70","2021 est.","77","Africa"
"Gabon","gabon","1.70","2021 est.","78","Africa"
"Georgia","georgia","1.70","2021 est.","79","Middle East"
"Norway","norway","1.70","2021 est.","80","Europe"
"Senegal","senegal","1.70","2021 est.","81","Africa"
"Slovakia","slovakia","1.70","2021 est.","82","Europe"
